,i,time,g_load,p_load,p_pv,k_fc_p,k_fc_g,k_eb,t_ht_l,t_de_l,soc_b_l,k_b,ghp_has_open,,p_eb,p_fc,,p_pur,,p_b,lambda_ele_in,g_fc,g_eb,g_hp,g_ht,,h_pur,cop_hp,g_gtw,t_gtw_out,t_gtw_in,t_b,t_ht,,t_de,,soc_b,,,,,,etm
0,0,0,1883.73505,271.6239533,0,12.0275,16.0225,0.82,45,47,0,0.95,0,,2800,0,,3580.526316,,210.5263158,0.2003,0,2296,930.3494188,-1252.614369,,0,3.101164729,630.3494188,9.108062279,6.856814354,9.415050632,48.52318391,,47,,200,,,,,,1
1,1,0,1884.08763,270.7594533,0,12.0275,16.0225,0.82,48.52318391,47,199.99905,0.95,1,,2790.284617,0,,3060.284617,,0,0.2003,0,2288.033386,0,-313.9457563,,0,3.138279621,0,9.415050632,9.415050632,9.415050632,49.36143763,,47,,199.99905,,,,,,2
2,2,0,1943.499695,272.4866133,0,12.0275,16.0225,0.82,49.36143763,47,199.99905,0.95,1,,2800,0,,3070,,0,0.2003,0,2296,0,-262.5003048,,0,3.095666408,0,9.062584021,9.062584021,9.062584021,50.05198584,,47,,199.99905,,,,,,2
3,3,0,1853.149283,274.09248,0,12.0275,16.0225,0.82,50.05198584,47,199.99905,0.95,1,,2800,0,,3070,,0,0.2003,0,2296,0,-352.8507167,,0,3.117615419,0,9.244130843,9.244130843,9.244130843,50.99922904,,47,,199.99905,,,,,,1
4,3,0.4,1853.149283,274.09248,0,12.0275,16.0225,0.82,50.43088312,47,199.99905,0.001,1,,2800,0,,3070,,0,0.2003,0,2296,0,-352.8507167,,0,3.117615419,0,9.244130843,9.244130843,9.244130843,51.37780155,,47,,199.99905,,,,,,2
5,4,0,1896.46941,275.5992733,0,12.0275,16.0225,0.82,50.99903418,47,199.99905,0.001,1,,2800,0,,3070,,0,0.2003,0,2296,0,-309.5305905,,0,3.126601447,0,9.318456964,9.318456964,9.318456964,51.82169384,,47,,199.99905,,,,,,2
6,4,0.7,1896.46941,275.5992733,0,12.0275,16.0225,0.82,51.57489594,47,199.99905,0.95,1,,2800,0,,3070.001,,0.000999995,0.2003,0,2296,0,-309.5305905,,0,3.126601447,0,9.318456964,9.318456964,9.318456964,52.397062,,47,,200,,,,,,2
7,5,0,1814.559759,276.0329467,0,12.0275,16.0225,0.82,51.82154576,47,199.9991925,0.95,1,,2800,0,,3070,,0,0.2003,0,2296,0,-391.4402414,,0,3.131524002,0,9.359172887,9.359172887,9.359172887,52.87752798,,47,,199.9991925,,,,,,2
8,6,0,1948.082577,272.5588467,0,12.0275,16.0225,0.82,52.87752798,47,199.9991925,0.95,1,,2800,0,,3370.00085,,0.000849996,0.2003,0,2296,926.2684204,-765.3284651,,0,3.087561401,626.2684204,8.99554509,6.75887216,9.300545944,55,,49.39347073,,200,,,,,,2
9,7,0,1835.60853,279.2089244,31.3013111,12.0275,16.0225,0.82,55,49.39347073,199.9995635,0.95,2,,801.3498055,0,,1340.048952,,0.000457889,0.5221,0,657.1068405,926.8974027,-23.4,,0,3.089658009,626.8974027,9.012886759,6.773967463,9.318193935,55,,47,,199.9999985,,,,,,2
10,8,0,1913.28291,250.7388569,227.7595263,12.0275,16.0225,0.82,55,47,199.9997001,0.95,3,,0,152.2407586,,0,,-189.9997151,0.8439,202.8083604,0,924.364544,876.1100058,,12.6577226,3.081215147,624.364544,8.943053323,6.713179951,9.247126964,52.4316857,,47,,0,,,,,,2
