,i,time,g_load,p_load,p_pv,k_fc_p,k_fc_g,k_eb,t_ht_l,t_de_l,soc_b_l,k_b,ghp_has_open,opex,p_eb,p_fc,p_pur,p_b,lambda_ele_in,g_fc,g_eb,g_hp,g_ht,h_pur,cop_hp,g_gtw,t_gtw_out,t_gtw_in,t_b,t_ht,t_de,soc_b,p_eb_UP,p_eb_LOW,g_eb_UP,g_eb_LOW,p_fc_UP,p_fc_LOW,g_fc_UP,g_fc_LOW,p_b_UP,p_b_LOW,p_pv_UP,p_pv_LOW,g_hp_UP,g_hp_LOW,t_ht_l_UP,t_ht_l_LOW,t_de_l_UP,t_de_l_LOW,soc_b_l_UP,soc_b_l_LOW,h_fc_UP,h_fc,h_fc_LOW,g_balance_SA_RHSUP,g_balance_RHS,g_balance_SA_RHSLOW,p_balance_SA_RHSUP,p_balance_RHS,p_balance_SA_RHSLOW,p_pv_rhs_SA_RHSUP,p_pv_rhs,p_pv_rhs_SA_RHSLOW,g_load_UP,g_load_LOW,p_load_UP,p_load_LOW,etm
0,0,0.000,1883.735,271.624,0.000,12.027,16.023,0.820,45.000,47.000,0.000,0.950,0.000,663.899,2688.180,0.000,3314.525,-56.345,0.200,0.000,2204.308,930.349,-1160.922,0.000,3.101,630.349,9.108,6.857,9.415,48.261,47.000,53.528,2688.180,2688.180,2204.308,2204.308,0.000,0.000,799.293,0.000,-56.345,-56.345,0.000,0.000,930.349,930.349,45.000,45.000,47.000,47.000,0.000,0.000,0.000,0.000,0.000,5007.927,4916.235,2711.927,inf,4570.000,1255.475,3314.525,0.000,0.000,1975.427,-320.573,inf,-3044.525,2
1,1,0.000,1884.088,270.759,0.000,12.027,16.023,0.820,48.261,47.000,0.765,0.950,1.000,656.928,2800.000,0.000,3279.721,-209.721,0.200,0.000,2296.000,0.000,-321.912,0.000,3.138,0.000,9.415,9.415,9.415,49.122,47.000,200.000,2800.000,2800.000,2296.000,2296.000,0.000,0.000,83.647,0.000,-209.721,-209.721,0.000,0.000,0.000,0.000,48.261,48.261,47.000,47.000,0.765,0.765,0.000,0.000,0.000,5459.211,4916.588,4832.941,inf,4270.000,990.279,3279.721,0.000,0.000,2426.711,1800.441,inf,-3009.721,2
2,2,0.000,1943.500,272.487,0.000,12.027,16.023,0.820,49.122,47.000,11.789,0.950,1.000,654.604,2800.000,0.000,3268.117,-198.117,0.200,0.000,2296.000,0.000,-262.500,0.000,3.096,0.000,9.063,9.063,9.063,49.813,47.000,200.000,2800.000,2800.000,2296.000,2296.000,0.000,0.000,239.620,0.000,-198.117,-198.117,0.000,0.000,0.000,0.000,49.122,49.122,47.000,47.000,11.789,11.789,0.000,0.000,0.000,5609.928,4976.000,4736.380,inf,4270.000,1001.883,3268.117,0.000,0.000,2577.428,1703.880,inf,-2998.117,2
3,3,0.000,1853.149,274.092,0.000,12.027,16.023,0.820,49.813,47.000,21.596,0.950,1.000,652.536,2800.000,0.000,3257.793,-187.793,0.200,0.000,2296.000,0.000,-352.851,0.000,3.118,0.000,9.244,9.244,9.244,50.761,47.000,200.000,2800.000,2800.000,2296.000,2296.000,0.000,0.000,286.108,0.000,-187.793,-187.793,0.000,0.000,0.000,0.000,49.813,49.813,47.000,47.000,21.596,21.596,0.000,0.000,0.000,5476.795,4885.649,4599.542,inf,4270.000,1012.207,3257.793,0.000,0.000,2444.295,1567.042,inf,-2987.793,2
4,3,0.400,1853.149,274.092,0.000,12.027,16.023,0.820,50.192,47.000,25.112,0.001,1.000,614.921,2800.000,0.000,3070.000,0.000,0.200,0.000,2296.000,0.000,-352.851,0.000,3.118,0.000,9.244,9.244,9.244,51.139,47.000,25.112,2800.000,2800.000,2296.000,2296.000,0.000,0.000,153.579,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.192,50.192,47.000,47.000,25.112,25.112,0.000,0.000,0.000,5609.324,4885.649,4732.071,inf,4270.000,1200.000,3070.000,0.000,0.000,2576.824,1699.571,inf,-2800.000,2
5,4,0.000,1896.469,275.599,0.000,12.027,16.023,0.820,50.760,47.000,25.112,0.001,1.000,675.011,2800.000,0.000,3370.000,0.000,0.200,0.000,2296.000,923.910,-1233.441,0.000,3.080,623.910,8.931,6.702,9.234,54.223,47.000,25.112,2800.000,2800.000,2296.000,2296.000,0.000,0.000,271.929,0.000,0.000,0.000,0.000,0.000,923.910,923.910,50.760,50.760,47.000,47.000,25.112,25.112,0.000,0.000,0.000,5040.569,4928.969,4657.040,inf,4570.000,1200.000,3370.000,0.000,0.000,2008.069,1624.540,inf,-3100.000,2
6,4,0.700,1896.469,275.599,0.000,12.027,16.023,0.820,53.184,47.000,25.112,0.950,1.700,651.795,2800.000,0.000,3254.093,-184.093,0.200,0.000,2296.000,0.000,-309.531,0.000,3.127,0.000,9.318,9.318,9.318,54.005,47.000,200.000,2800.000,2800.000,2296.000,2296.000,0.000,0.000,348.228,0.000,-184.093,-184.093,0.000,0.000,0.000,0.000,53.184,53.184,47.000,47.000,25.112,25.112,0.000,0.000,0.000,4964.271,4928.969,4580.742,inf,4270.000,1015.907,3254.093,0.000,0.000,1931.771,1548.242,inf,-2984.093,2
7,5,0.000,1814.560,276.033,0.000,12.027,16.023,0.820,53.431,47.000,27.643,0.950,1.700,651.261,2800.000,0.000,3251.428,-181.428,0.200,0.000,2296.000,0.000,-391.440,0.000,3.132,0.000,9.359,9.359,9.359,54.485,47.000,200.000,2800.000,2800.000,2296.000,2296.000,0.000,0.000,180.209,0.000,-181.428,-181.428,0.000,0.000,0.000,0.000,53.431,53.431,47.000,47.000,27.643,27.643,0.000,0.000,0.000,5050.079,4847.060,4666.851,inf,4270.000,1018.572,3251.428,0.000,0.000,2017.579,1634.351,inf,-2981.428,2
8,6,0.000,1948.083,272.559,0.000,12.027,16.023,0.820,54.485,47.000,35.832,0.950,1.700,683.724,2670.694,0.000,3413.502,-172.808,0.200,0.000,2189.969,926.268,-203.155,0.000,3.088,626.268,8.996,6.759,9.301,55.000,52.000,200.000,2670.694,2670.694,2189.969,2189.969,0.000,0.000,799.293,0.000,-172.808,-172.808,0.000,0.000,926.268,926.268,54.485,54.485,47.000,47.000,35.832,35.832,0.000,0.000,0.000,5086.614,4980.583,2790.614,inf,4570.000,1156.498,3413.502,0.000,0.000,2054.114,-241.886,inf,-3143.502,2
9,7,0.000,1835.609,279.209,31.301,12.027,16.023,0.820,55.000,52.000,43.245,0.950,2.700,532.700,316.599,0.000,1020.303,-165.006,0.522,0.000,259.611,926.897,-23.400,0.000,3.090,626.897,9.013,6.774,9.318,55.000,47.000,200.000,316.599,316.599,259.611,259.611,0.000,0.000,259.611,0.000,-165.006,-165.006,31.301,31.301,926.897,926.897,55.000,55.000,52.000,52.000,43.245,43.245,0.000,0.000,0.000,6904.497,4868.109,4608.497,inf,4570.000,3549.697,1051.605,31.301,0.000,3871.997,1575.997,inf,-750.303,2
