,i,time,g_load,p_load,p_pv,k_fc_p,k_fc_g,k_eb,t_ht_l,t_de_l,soc_b_l,k_b,ghp_has_open,opex,p_eb,p_fc,p_pur,p_b,lambda_ele_in,g_fc,g_eb,g_hp,g_ht,h_pur,cop_hp,g_gtw,t_gtw_out,t_gtw_in,t_b,t_ht,t_de,soc_b,p_eb_UP,p_eb_LOW,g_eb_UP,g_eb_LOW,p_fc_UP,p_fc_LOW,g_fc_UP,g_fc_LOW,p_b_UP,p_b_LOW,p_pv_UP,p_pv_LOW,g_hp_UP,g_hp_LOW,t_ht_l_UP,t_ht_l_LOW,t_de_l_UP,t_de_l_LOW,soc_b_l_UP,soc_b_l_LOW,h_fc_UP,h_fc,h_fc_LOW,g_balance_SA_RHSUP,g_balance_RHS,g_balance_SA_RHSLOW,p_balance_SA_RHSUP,p_balance_RHS,p_balance_SA_RHSLOW,p_pv_rhs_SA_RHSUP,p_pv_rhs,p_pv_rhs_SA_RHSLOW,g_load_UP,g_load_LOW,p_load_UP,p_load_LOW,etm
0,0,0,1883.735,271.624,0,12.027,16.023,0.82,45,47,0,0.95,0,717.505,2800,0,3582.15,-210.526,0.2,0,2296,930.349,-1252.614,0,3.101,630.349,9.108,6.857,9.415,48.523,47,200,2800,2800,2296,2296,0,0,345.348,0,-210.526,-210.526,0,0,930.349,930.349,45,45,47,47,0,0,0,0,0,4955.762,4916.235,4570.887,inf,4571.624,989.474,3582.15,0,0,1923.262,1538.387,inf,-3310.526,1
1,1,0,1884.088,270.759,0,12.027,16.023,0.82,48.523,47,200,0.95,1,613.127,2790.285,0,3061.044,0,0.2,0,2288.033,0,-313.946,0,3.138,0,9.415,9.415,9.415,49.361,47,200,2790.285,2790.285,2288.033,2288.033,0,0,799.293,0,0,0,0,0,0,0,48.523,48.523,47,47,200,200,0,0,0,4924.554,4916.588,2628.554,inf,4270.759,1209.715,3061.044,0,0,1892.054,-403.946,inf,-2790.285,2
2,2,0,1943.5,272.487,0,12.027,16.023,0.82,49.361,47,200,0.95,1,615.419,2800,0,3072.487,0,0.2,0,2296,0,-262.5,0,3.096,0,9.063,9.063,9.063,50.052,47,200,2800,2800,2296,2296,0,0,156.045,0,0,0,0,0,0,0,49.361,49.361,47,47,200,200,0,0,0,5651.752,4976,4819.955,inf,4272.487,1200,3072.487,0,0,2619.252,1787.455,inf,-2800,2
3,3,0,1853.149,274.092,0,12.027,16.023,0.82,50.052,47,200,0.95,1,615.741,2800,0,3074.092,0,0.2,0,2296,0,-352.851,0,3.118,0,9.244,9.244,9.244,50.999,47,200,2800,2800,2296,2296,0,0,202.604,0,0,0,0,0,0,0,50.052,50.052,47,47,200,200,0,0,0,5238.5,4885.649,4683.045,inf,4274.092,1200,3074.092,0,0,2206,1650.545,inf,-2800,1
4,3,0.4,1853.149,274.092,0,12.027,16.023,0.82,50.431,47,200,0.001,1,615.741,2800,0,3074.092,0,0.2,0,2296,0,-352.851,0,3.118,0,9.244,9.244,9.244,51.378,47,200,2800,2800,2296,2296,0,0,70.104,0,0,0,0,0,0,0,50.431,50.431,47,47,200,200,0,0,0,5238.5,4885.649,4815.546,inf,4274.092,1200,3074.092,0,0,2206,1783.046,inf,-2800,1
5,4,0,1896.469,275.599,0,12.027,16.023,0.82,50.999,47,200,0.001,1,616.043,2800,0,3075.599,0,0.2,0,2296,0,-309.531,0,3.127,0,9.318,9.318,9.318,51.822,47,200,2800,2800,2296,2296,0,0,296.327,0,0,0,0,0,0,0,50.999,50.999,47,47,200,200,0,0,0,5509.144,4928.969,4632.642,inf,4275.599,1200,3075.599,0,0,2476.644,1600.142,inf,-2800,2
6,4,0.7,1896.469,275.599,0,12.027,16.023,0.82,51.575,47,200,0.95,1,616.043,2800,0,3075.599,0,0.2,0,2296,0,-309.531,0,3.127,0,9.318,9.318,9.318,52.397,47,200,2800,2800,2296,2296,0,0,94.948,0,0,0,0,0,0,0,51.575,51.575,47,47,200,200,0,0,0,5710.523,4928.969,4834.021,inf,4275.599,1200,3075.599,0,0,2678.023,1801.521,inf,-2800,1
7,5,0,1814.56,276.033,0,12.027,16.023,0.82,51.822,47,200,0.95,1,616.129,2800,0,3076.033,0,0.2,0,2296,0,-391.44,0,3.132,0,9.359,9.359,9.359,52.878,47,200,2800,2800,2296,2296,0,0,309.239,0,0,0,0,0,0,0,51.822,51.822,47,47,200,200,0,0,0,5413.571,4847.06,4537.821,inf,4276.033,1200,3076.033,0,0,2381.071,1505.321,inf,-2800,2
8,6,0,1948.083,272.559,0,12.027,16.023,0.82,52.878,47,200,0.95,1,675.524,2800,0,3372.559,0,0.2,0,2296,926.268,-765.328,0,3.088,626.268,8.996,6.759,9.301,55,49.393,200,2800,2800,2296,2296,0,0,456.143,0,0,0,0,0,926.268,926.268,52.878,52.878,47,47,200,200,0,0,0,5399.44,4980.583,4524.44,inf,4572.559,1200,3372.559,0,0,2366.94,1491.94,inf,-3100,1
9,7,0,1835.609,279.209,31.301,12.027,16.023,0.82,55,49.393,200,0.95,2,704.447,801.35,0,1349.257,0,0.522,0,657.107,926.897,-23.4,0,3.09,626.897,9.013,6.774,9.318,55,47,200,801.35,801.35,657.107,657.107,0,0,657.107,0,0,0,31.301,31.301,926.897,926.897,55,55,49.393,49.393,200,200,0,0,0,6507.002,4868.109,4211.002,inf,4579.209,3229.952,1380.559,31.301,0,3474.502,1178.502,inf,-1070.048,2
